1	chr1
HSCHR19_1_CTG3_1	chr19_GL383574v1_alt
HSCHR19_2_CTG2	chr19_GL383575v2_alt
HSCHR19_3_CTG2	chr19_GL383576v1_alt
HSCHR19LRC_COX1_CTG3_1	chr19_GL949746v1_alt
HSCHR19LRC_COX2_CTG3_1	chr19_GL949747v2_alt
HSCHR19LRC_LRC_I_CTG3_1	chr19_GL949748v2_alt
HSCHR19LRC_LRC_J_CTG3_1	chr19_GL949749v2_alt
HSCHR19LRC_LRC_S_CTG3_1	chr19_GL949750v2_alt
HSCHR19LRC_LRC_T_CTG3_1	chr19_GL949751v2_alt
HSCHR19LRC_PGF1_CTG3_1	chr19_GL949752v1_alt
HSCHR19LRC_PGF2_CTG3_1	chr19_GL949753v2_alt
HSCHR19_4_CTG2	chr19_KI270865v1_alt
HSCHR19_2_CTG3_1	chr19_KI270866v1_alt
HSCHR19_3_CTG3_1	chr19_KI270867v1_alt
HSCHR19_5_CTG2	chr19_KI270868v1_alt
HSCHR19KIR_FH15_B_HAP_CTG3_1	chr19_KI270882v1_alt
HSCHR19KIR_G085_A_HAP_CTG3_1	chr19_KI270883v1_alt
HSCHR19KIR_G085_BA1_HAP_CTG3_1	chr19_KI270884v1_alt
HSCHR19KIR_G248_A_HAP_CTG3_1	chr19_KI270885v1_alt
HSCHR19KIR_G248_BA2_HAP_CTG3_1	chr19_KI270886v1_alt
HSCHR19KIR_GRC212_AB_HAP_CTG3_1	chr19_KI270887v1_alt
HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	chr19_KI270888v1_alt
HSCHR19KIR_LUCE_A_HAP_CTG3_1	chr19_KI270889v1_alt
HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	chr19_KI270890v1_alt
HSCHR19KIR_RSH_A_HAP_CTG3_1	chr19_KI270891v1_alt
HSCHR19KIR_RSH_BA2_HAP_CTG3_1	chr19_KI270914v1_alt
HSCHR19KIR_T7526_A_HAP_CTG3_1	chr19_KI270915v1_alt
HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	chr19_KI270916v1_alt
HSCHR19KIR_ABC08_A1_HAP_CTG3_1	chr19_KI270917v1_alt
HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	chr19_KI270918v1_alt
HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	chr19_KI270919v1_alt
HSCHR19KIR_FH05_A_HAP_CTG3_1	chr19_KI270920v1_alt
HSCHR19KIR_FH05_B_HAP_CTG3_1	chr19_KI270921v1_alt
HSCHR19KIR_FH06_A_HAP_CTG3_1	chr19_KI270922v1_alt
HSCHR19KIR_FH06_BA1_HAP_CTG3_1	chr19_KI270923v1_alt
HSCHR19KIR_FH08_A_HAP_CTG3_1	chr19_KI270929v1_alt
HSCHR19KIR_FH08_BAX_HAP_CTG3_1	chr19_KI270930v1_alt
HSCHR19KIR_FH13_A_HAP_CTG3_1	chr19_KI270931v1_alt
HSCHR19KIR_FH13_BA2_HAP_CTG3_1	chr19_KI270932v1_alt
HSCHR19KIR_FH15_A_HAP_CTG3_1	chr19_KI270933v1_alt
HSCHR19_4_CTG3_1	chr19_KI270938v1_alt
HSCHR1_1_CTG31	chr1_GL383518v1_alt
HSCHR1_2_CTG31	chr1_GL383519v1_alt
HSCHR1_3_CTG31	chr1_GL383520v2_alt
KI270706.1	chr1_KI270706v1_random
KI270707.1	chr1_KI270707v1_random
KI270708.1	chr1_KI270708v1_random
KI270709.1	chr1_KI270709v1_random
KI270710.1	chr1_KI270710v1_random
KI270711.1	chr1_KI270711v1_random
KI270712.1	chr1_KI270712v1_random
KI270713.1	chr1_KI270713v1_random
KI270714.1	chr1_KI270714v1_random
HSCHR1_1_CTG32_1	chr1_KI270759v1_alt
HSCHR1_1_CTG11	chr1_KI270760v1_alt
HSCHR1_2_CTG32_1	chr1_KI270761v1_alt
HSCHR1_1_CTG3	chr1_KI270762v1_alt
HSCHR1_3_CTG32_1	chr1_KI270763v1_alt
HSCHR1_4_CTG32_1	chr1_KI270764v1_alt
HSCHR1_4_CTG31	chr1_KI270765v1_alt
HSCHR1_2_CTG3	chr1_KI270766v1_alt
HSCHR1_ALT2_1_CTG32_1	chr1_KI270892v1_alt
2	chr2
20	chr20
HSCHR20_1_CTG1	chr20_GL383577v2_alt
HSCHR20_1_CTG2	chr20_KI270869v1_alt
HSCHR20_1_CTG3	chr20_KI270870v1_alt
HSCHR20_1_CTG4	chr20_KI270871v1_alt
21	chr21
HSCHR21_1_CTG1_1	chr21_GL383578v2_alt
HSCHR21_2_CTG1_1	chr21_GL383579v2_alt
HSCHR21_3_CTG1_1	chr21_GL383580v2_alt
HSCHR21_4_CTG1_1	chr21_GL383581v2_alt
HSCHR21_5_CTG2	chr21_KI270872v1_alt
HSCHR21_6_CTG1_1	chr21_KI270873v1_alt
HSCHR21_8_CTG1_1	chr21_KI270874v1_alt
22	chr22
HSCHR22_1_CTG1	chr22_GL383582v2_alt
HSCHR22_1_CTG2	chr22_GL383583v2_alt
HSCHR22_2_CTG1	chr22_KB663609v1_alt
KI270731.1	chr22_KI270731v1_random
KI270732.1	chr22_KI270732v1_random
KI270733.1	chr22_KI270733v1_random
KI270734.1	chr22_KI270734v1_random
KI270735.1	chr22_KI270735v1_random
KI270736.1	chr22_KI270736v1_random
KI270737.1	chr22_KI270737v1_random
KI270738.1	chr22_KI270738v1_random
KI270739.1	chr22_KI270739v1_random
HSCHR22_1_CTG3	chr22_KI270875v1_alt
HSCHR22_1_CTG4	chr22_KI270876v1_alt
HSCHR22_1_CTG5	chr22_KI270877v1_alt
HSCHR22_1_CTG6	chr22_KI270878v1_alt
HSCHR22_1_CTG7	chr22_KI270879v1_alt
HSCHR22_3_CTG1	chr22_KI270928v1_alt
HSCHR2_1_CTG5	chr2_GL383521v1_alt
HSCHR2_1_CTG7_2	chr2_GL383522v1_alt
HSCHR2_2_CTG7_2	chr2_GL582966v2_alt
KI270715.1	chr2_KI270715v1_random
KI270716.1	chr2_KI270716v1_random
HSCHR2_1_CTG15	chr2_KI270767v1_alt
HSCHR2_3_CTG7_2	chr2_KI270768v1_alt
HSCHR2_1_CTG1	chr2_KI270769v1_alt
HSCHR2_2_CTG1	chr2_KI270770v1_alt
HSCHR2_4_CTG7_2	chr2_KI270771v1_alt
HSCHR2_1_CTG7	chr2_KI270772v1_alt
HSCHR2_3_CTG1	chr2_KI270773v1_alt
HSCHR2_4_CTG1	chr2_KI270774v1_alt
HSCHR2_5_CTG7_2	chr2_KI270775v1_alt
HSCHR2_3_CTG15	chr2_KI270776v1_alt
HSCHR2_2_CTG15	chr2_KI270893v1_alt
HSCHR2_2_CTG7	chr2_KI270894v1_alt
3	chr3
GL000221.1	chr3_GL000221v1_random
HSCHR3_1_CTG2_1	chr3_GL383526v1_alt
HSCHR3_1_CTG1	chr3_JH636055v2_alt
HSCHR3_2_CTG2_1	chr3_KI270777v1_alt
HSCHR3_3_CTG2_1	chr3_KI270778v1_alt
HSCHR3_1_CTG3	chr3_KI270779v1_alt
HSCHR3_4_CTG2_1	chr3_KI270780v1_alt
HSCHR3_5_CTG2_1	chr3_KI270781v1_alt
HSCHR3_2_CTG3	chr3_KI270782v1_alt
HSCHR3_3_CTG1	chr3_KI270783v1_alt
HSCHR3_9_CTG3	chr3_KI270784v1_alt
HSCHR3_3_CTG3	chr3_KI270895v1_alt
HSCHR3_4_CTG3	chr3_KI270924v1_alt
HSCHR3_5_CTG3	chr3_KI270934v1_alt
HSCHR3_6_CTG3	chr3_KI270935v1_alt
HSCHR3_7_CTG3	chr3_KI270936v1_alt
HSCHR3_8_CTG3	chr3_KI270937v1_alt
4	chr4
GL000008.2	chr4_GL000008v2_random
HSCHR4_1_CTG9	chr4_GL000257v2_alt
HSCHR4_1_CTG12	chr4_GL383527v1_alt
HSCHR4_1_CTG6	chr4_GL383528v1_alt
HSCHR4_2_CTG12	chr4_KI270785v1_alt
HSCHR4_3_CTG12	chr4_KI270786v1_alt
HSCHR4_1_CTG8_1	chr4_KI270787v1_alt
HSCHR4_4_CTG12	chr4_KI270788v1_alt
HSCHR4_5_CTG12	chr4_KI270789v1_alt
HSCHR4_1_CTG4	chr4_KI270790v1_alt
HSCHR4_6_CTG12	chr4_KI270896v1_alt
HSCHR4_7_CTG12	chr4_KI270925v1_alt
5	chr5
GL000208.1	chr5_GL000208v1_random
HSCHR5_2_CTG1_1	chr5_GL339449v2_alt
HSCHR5_3_CTG1_1	chr5_GL383530v1_alt
HSCHR5_1_CTG5	chr5_GL383531v1_alt
HSCHR5_1_CTG1	chr5_GL383532v1_alt
HSCHR5_2_CTG1	chr5_GL949742v1_alt
HSCHR5_3_CTG1	chr5_KI270791v1_alt
HSCHR5_4_CTG1	chr5_KI270792v1_alt
HSCHR5_5_CTG1	chr5_KI270793v1_alt
HSCHR5_6_CTG1	chr5_KI270794v1_alt
HSCHR5_2_CTG5	chr5_KI270795v1_alt
HSCHR5_4_CTG1_1	chr5_KI270796v1_alt
HSCHR5_1_CTG1_1	chr5_KI270897v1_alt
HSCHR5_3_CTG5	chr5_KI270898v1_alt
6	chr6
HSCHR6_MHC_APD_CTG1	chr6_GL000250v2_alt
HSCHR6_MHC_COX_CTG1	chr6_GL000251v2_alt
HSCHR6_MHC_DBB_CTG1	chr6_GL000252v2_alt
HSCHR6_MHC_MANN_CTG1	chr6_GL000253v2_alt
HSCHR6_MHC_MCF_CTG1	chr6_GL000254v2_alt
HSCHR6_MHC_QBL_CTG1	chr6_GL000255v2_alt
HSCHR6_MHC_SSTO_CTG1	chr6_GL000256v2_alt
HSCHR6_1_CTG2	chr6_GL383533v1_alt
HSCHR6_1_CTG3	chr6_KB021644v2_alt
HSCHR6_8_CTG1	chr6_KI270758v1_alt
HSCHR6_1_CTG4	chr6_KI270797v1_alt
HSCHR6_1_CTG5	chr6_KI270798v1_alt
HSCHR6_1_CTG6	chr6_KI270799v1_alt
HSCHR6_1_CTG7	chr6_KI270800v1_alt
HSCHR6_1_CTG8	chr6_KI270801v1_alt
HSCHR6_1_CTG9	chr6_KI270802v1_alt
7	chr7
HSCHR7_1_CTG6	chr7_GL383534v2_alt
HSCHR7_2_CTG6	chr7_KI270803v1_alt
HSCHR7_1_CTG1	chr7_KI270804v1_alt
HSCHR7_1_CTG7	chr7_KI270805v1_alt
HSCHR7_1_CTG4_4	chr7_KI270806v1_alt
HSCHR7_2_CTG7	chr7_KI270807v1_alt
HSCHR7_3_CTG6	chr7_KI270808v1_alt
HSCHR7_2_CTG4_4	chr7_KI270809v1_alt
HSCHR7_2_CTG1	chr7_KI270899v1_alt
8	chr8
HSCHR8_1_CTG7	chr8_KI270810v1_alt
HSCHR8_1_CTG1	chr8_KI270811v1_alt
HSCHR8_2_CTG1	chr8_KI270812v1_alt
HSCHR8_3_CTG1	chr8_KI270813v1_alt
HSCHR8_1_CTG6	chr8_KI270814v1_alt
HSCHR8_2_CTG7	chr8_KI270815v1_alt
HSCHR8_3_CTG7	chr8_KI270816v1_alt
HSCHR8_4_CTG7	chr8_KI270817v1_alt
HSCHR8_4_CTG1	chr8_KI270818v1_alt
HSCHR8_5_CTG7	chr8_KI270819v1_alt
HSCHR8_6_CTG7	chr8_KI270820v1_alt
HSCHR8_8_CTG1	chr8_KI270821v1_alt
HSCHR8_9_CTG1	chr8_KI270822v1_alt
HSCHR8_5_CTG1	chr8_KI270900v1_alt
HSCHR8_6_CTG1	chr8_KI270901v1_alt
HSCHR8_7_CTG1	chr8_KI270926v1_alt
9	chr9
HSCHR9_1_CTG1	chr9_GL383539v1_alt
HSCHR9_1_CTG2	chr9_GL383540v1_alt
HSCHR9_1_CTG3	chr9_GL383541v1_alt
HSCHR9_1_CTG4	chr9_GL383542v1_alt
KI270717.1	chr9_KI270717v1_random
KI270718.1	chr9_KI270718v1_random
KI270719.1	chr9_KI270719v1_random
KI270720.1	chr9_KI270720v1_random
HSCHR9_1_CTG5	chr9_KI270823v1_alt
MT	chrM
GL000195.1	chrUn_GL000195v1
GL000213.1	chrUn_GL000213v1
GL000214.1	chrUn_GL000214v1
GL000216.2	chrUn_GL000216v2
GL000218.1	chrUn_GL000218v1
GL000219.1	chrUn_GL000219v1
GL000220.1	chrUn_GL000220v1
GL000224.1	chrUn_GL000224v1
GL000226.1	chrUn_GL000226v1
KI270302.1	chrUn_KI270302v1
KI270303.1	chrUn_KI270303v1
KI270304.1	chrUn_KI270304v1
KI270305.1	chrUn_KI270305v1
KI270310.1	chrUn_KI270310v1
KI270311.1	chrUn_KI270311v1
KI270312.1	chrUn_KI270312v1
KI270315.1	chrUn_KI270315v1
KI270316.1	chrUn_KI270316v1
KI270317.1	chrUn_KI270317v1
KI270320.1	chrUn_KI270320v1
KI270322.1	chrUn_KI270322v1
KI270329.1	chrUn_KI270329v1
KI270330.1	chrUn_KI270330v1
KI270333.1	chrUn_KI270333v1
KI270334.1	chrUn_KI270334v1
KI270335.1	chrUn_KI270335v1
KI270336.1	chrUn_KI270336v1
KI270337.1	chrUn_KI270337v1
KI270338.1	chrUn_KI270338v1
KI270340.1	chrUn_KI270340v1
KI270362.1	chrUn_KI270362v1
KI270363.1	chrUn_KI270363v1
KI270364.1	chrUn_KI270364v1
KI270366.1	chrUn_KI270366v1
KI270371.1	chrUn_KI270371v1
KI270372.1	chrUn_KI270372v1
KI270373.1	chrUn_KI270373v1
KI270374.1	chrUn_KI270374v1
KI270375.1	chrUn_KI270375v1
KI270376.1	chrUn_KI270376v1
KI270378.1	chrUn_KI270378v1
KI270379.1	chrUn_KI270379v1
KI270381.1	chrUn_KI270381v1
KI270382.1	chrUn_KI270382v1
KI270383.1	chrUn_KI270383v1
KI270384.1	chrUn_KI270384v1
KI270385.1	chrUn_KI270385v1
KI270386.1	chrUn_KI270386v1
KI270387.1	chrUn_KI270387v1
KI270388.1	chrUn_KI270388v1
KI270389.1	chrUn_KI270389v1
KI270390.1	chrUn_KI270390v1
KI270391.1	chrUn_KI270391v1
KI270392.1	chrUn_KI270392v1
KI270393.1	chrUn_KI270393v1
KI270394.1	chrUn_KI270394v1
KI270395.1	chrUn_KI270395v1
KI270396.1	chrUn_KI270396v1
KI270411.1	chrUn_KI270411v1
KI270412.1	chrUn_KI270412v1
KI270414.1	chrUn_KI270414v1
KI270417.1	chrUn_KI270417v1
KI270418.1	chrUn_KI270418v1
KI270419.1	chrUn_KI270419v1
KI270420.1	chrUn_KI270420v1
KI270422.1	chrUn_KI270422v1
KI270423.1	chrUn_KI270423v1
KI270424.1	chrUn_KI270424v1
KI270425.1	chrUn_KI270425v1
KI270429.1	chrUn_KI270429v1
KI270435.1	chrUn_KI270435v1
KI270438.1	chrUn_KI270438v1
KI270442.1	chrUn_KI270442v1
KI270448.1	chrUn_KI270448v1
KI270465.1	chrUn_KI270465v1
KI270466.1	chrUn_KI270466v1
KI270467.1	chrUn_KI270467v1
KI270468.1	chrUn_KI270468v1
KI270507.1	chrUn_KI270507v1
KI270508.1	chrUn_KI270508v1
KI270509.1	chrUn_KI270509v1
KI270510.1	chrUn_KI270510v1
KI270511.1	chrUn_KI270511v1
KI270512.1	chrUn_KI270512v1
KI270515.1	chrUn_KI270515v1
KI270516.1	chrUn_KI270516v1
KI270517.1	chrUn_KI270517v1
KI270518.1	chrUn_KI270518v1
KI270519.1	chrUn_KI270519v1
KI270521.1	chrUn_KI270521v1
KI270522.1	chrUn_KI270522v1
KI270528.1	chrUn_KI270528v1
KI270529.1	chrUn_KI270529v1
KI270530.1	chrUn_KI270530v1
KI270538.1	chrUn_KI270538v1
KI270539.1	chrUn_KI270539v1
KI270544.1	chrUn_KI270544v1
KI270548.1	chrUn_KI270548v1
KI270579.1	chrUn_KI270579v1
KI270580.1	chrUn_KI270580v1
KI270581.1	chrUn_KI270581v1
KI270582.1	chrUn_KI270582v1
KI270583.1	chrUn_KI270583v1
KI270584.1	chrUn_KI270584v1
KI270587.1	chrUn_KI270587v1
KI270588.1	chrUn_KI270588v1
KI270589.1	chrUn_KI270589v1
KI270590.1	chrUn_KI270590v1
KI270591.1	chrUn_KI270591v1
KI270593.1	chrUn_KI270593v1
KI270741.1	chrUn_KI270741v1
KI270742.1	chrUn_KI270742v1
KI270743.1	chrUn_KI270743v1
KI270744.1	chrUn_KI270744v1
KI270745.1	chrUn_KI270745v1
KI270746.1	chrUn_KI270746v1
KI270747.1	chrUn_KI270747v1
KI270748.1	chrUn_KI270748v1
KI270749.1	chrUn_KI270749v1
KI270750.1	chrUn_KI270750v1
KI270751.1	chrUn_KI270751v1
KI270752.1	chrUn_KI270752v1
KI270753.1	chrUn_KI270753v1
KI270754.1	chrUn_KI270754v1
KI270755.1	chrUn_KI270755v1
KI270756.1	chrUn_KI270756v1
KI270757.1	chrUn_KI270757v1
X	chrX
HSCHRX_1_CTG3	chrX_KI270880v1_alt
HSCHRX_2_CTG12	chrX_KI270881v1_alt
HSCHRX_2_CTG3	chrX_KI270913v1_alt
Y	chrY
KI270740.1	chrY_KI270740v1_random
1	CM000663.2
2	CM000664.2
3	CM000665.2
4	CM000666.2
5	CM000667.2
6	CM000668.2
7	CM000669.2
8	CM000670.2
9	CM000671.2
10	CM000672.2
11	CM000673.2
12	CM000674.2
13	CM000675.2
14	CM000676.2
15	CM000677.2
16	CM000678.2
17	CM000679.2
18	CM000680.2
19	CM000681.2
20	CM000682.2
21	CM000683.2
22	CM000684.2
X	CM000685.2
Y	CM000686.2
KI270300.1	GJ211836.1
KI270301.1	GJ211837.1
KI270319.1	GJ211855.1
KI270321.1	GJ211857.1
KI270325.1	GJ211860.1
KI270327.1	GJ211866.1
KI270328.1	GJ211867.1
KI270332.1	GJ211871.1
KI270342.1	GJ211881.1
KI270343.1	GJ211882.1
KI270344.1	GJ211883.1
KI270345.1	GJ211884.1
KI270347.1	GJ211886.1
KI270348.1	GJ211887.1
KI270365.1	GJ211904.2
KI270367.1	GJ211906.2
KI270368.1	GJ211907.1
KI270369.1	GJ211908.1
KI270377.1	GJ211909.1
KI270397.1	GJ211929.1
KI270408.1	GJ211930.1
KI270409.1	GJ211932.1
KI270410.1	GJ211933.1
KI270413.1	GJ211936.1
KI270416.1	GJ211938.1
KI270421.1	GJ211943.1
KI270426.1	GJ211948.1
KI270427.1	GJ211949.1
KI270432.1	GJ211954.1
KI270433.1	GJ211955.2
KI270439.1	GJ211961.2
KI270440.1	GJ211962.2
KI270441.1	GJ211963.2
KI270443.1	GJ211965.2
KI270445.1	GJ211967.2
KI270446.1	GJ211968.2
KI270447.1	GJ211969.2
KI270450.1	GJ211972.2
KI270464.1	GJ211986.2
KI270469.1	GJ211991.2
KI270470.1	GJ211992.2
KI270476.1	GJ211998.2
KI270477.1	GJ211999.2
KI270478.1	GJ212000.2
KI270480.1	GJ212002.2
KI270482.1	GJ212004.2
KI270483.1	GJ212005.2
KI270484.1	GJ212006.2
KI270487.1	GJ212009.2
KI270501.1	GJ212023.2
KI270506.1	GJ212028.2
KI270514.1	GJ212036.1
KI270520.1	GJ212042.1
KI270523.1	GJ212045.1
KI270526.1	GJ212046.1
KI270531.1	GJ212051.1
KI270533.1	GJ212053.1
KI270534.1	GJ212054.1
KI270535.1	GJ212055.1
KI270540.1	GJ212060.1
KI270542.1	GJ212062.1
KI270546.1	GJ212066.1
KI270547.1	GJ212067.1
KI270549.1	GJ212069.1
KI270551.1	GJ212071.1
KI270552.1	GJ212072.2
KI270557.1	GJ212077.2
KI270571.1	GJ212091.1
KI270573.1	GJ212093.1
KI270575.1	GJ212095.1
KI270585.1	GJ212105.1
KI270586.1	GJ212107.1
KI270596.1	GJ212117.1
KI270620.1	GJ212118.2
KI270626.1	GJ212124.2
KI270627.1	GJ212125.2
KI270628.1	GJ212126.2
KI270630.1	GJ212128.2
KI270632.1	GJ212130.2
KI270633.1	GJ212131.2
KI270634.1	GJ212132.2
KI270637.1	GJ212135.2
KI270651.1	GJ212149.2
KI270656.1	GJ212154.2
KI270663.1	GJ212155.2
KI270669.1	GJ212161.2
KI270670.1	GJ212162.2
KI270671.1	GJ212163.2
KI270673.1	GJ212165.2
KI270675.1	GJ212167.2
KI270676.1	GJ212168.2
KI270677.1	GJ212169.2
KI270680.1	GJ212172.2
KI270694.1	GJ212186.2
KI270699.1	GJ212191.2
KI270704.1	GJ212192.1
KI270705.1	GJ212193.1
KI270370.1	GJ212194.1
KI866538.1	GJ212201.1
KI866532.1	GJ212202.1
KI866533.1	GJ212203.1
KI866539.1	GJ212204.1
KI866534.1	GJ212205.1
KI866535.1	GJ212206.1
KI866540.1	GJ212207.1
KI866541.1	GJ212208.1
KI866542.1	GJ212209.1
KI866536.1	GJ212210.1
KI866537.1	GJ212211.1
HSCHR19KIR_RP5_B_HAP_CTG3_1	GL000209.2
HSCHR6_MHC_APD_CTG1	GL000250.2
HSCHR6_MHC_COX_CTG1	GL000251.2
HSCHR6_MHC_DBB_CTG1	GL000252.2
HSCHR6_MHC_MANN_CTG1	GL000253.2
HSCHR6_MHC_MCF_CTG1	GL000254.2
HSCHR6_MHC_QBL_CTG1	GL000255.2
HSCHR6_MHC_SSTO_CTG1	GL000256.2
HSCHR4_1_CTG9	GL000257.2
HSCHR17_1_CTG5	GL000258.2
HSCHR5_2_CTG1_1	GL339449.2
HSCHR1_1_CTG31	GL383518.1
HSCHR1_2_CTG31	GL383519.1
HSCHR1_3_CTG31	GL383520.2
HSCHR2_1_CTG5	GL383521.1
HSCHR2_1_CTG7_2	GL383522.1
HSCHR3_1_CTG2_1	GL383526.1
HSCHR4_1_CTG12	GL383527.1
HSCHR4_1_CTG6	GL383528.1
HSCHR5_3_CTG1_1	GL383530.1
HSCHR5_1_CTG5	GL383531.1
HSCHR5_1_CTG1	GL383532.1
HSCHR6_1_CTG2	GL383533.1
HSCHR7_1_CTG6	GL383534.2
HSCHR9_1_CTG1	GL383539.1
HSCHR9_1_CTG2	GL383540.1
HSCHR9_1_CTG3	GL383541.1
HSCHR9_1_CTG4	GL383542.1
HSCHR10_1_CTG1	GL383545.1
HSCHR10_1_CTG2	GL383546.1
HSCHR11_1_CTG1_1	GL383547.1
HSCHR12_1_CTG2	GL383549.1
HSCHR12_1_CTG2_1	GL383550.2
HSCHR12_4_CTG2_1	GL383551.1
HSCHR12_2_CTG2_1	GL383552.1
HSCHR12_3_CTG2_1	GL383553.2
